Date,Open,High,Low,Close,Adj Close,Volume,EMA_20,EMA_100,signal,position,trade,asset_return,strategy_gross_return,cost,strategy_net_return,buy_and_hold_equity,strategy_equity
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,
2024-06-14,213.85000610351562,215.1699981689453,211.3000030517578,212.49000549316406,210.85923767089844,70122700,197.49158916882558,184.44750394674315,1,1.0,0.0,-0.008168409051202308,-0.008168409051202308,0.0,-0.008168409051202308,77742.6148118137,27131.21007299038
2024-06-17,213.3699951171875,218.9499969482422,212.72000122070312,216.6699981689453,215.00711059570312,93728300,199.31810431169413,185.085573139262,1,1.0,0.0,0.019671478976528656,0.019671478976528656,0.0,0.019671478976528656,79271.92702466466,27664.921101548993
2024-06-18,217.58999633789062,218.6300048828125,213.0,214.2899932861328,212.6453857421875,79943300,200.7439984997359,185.663878488705,1,1.0,0.0,-0.010984469021671939,-0.010984469021671939,0.0,-0.010984469021671939,78401.16699797401,27361.03663272203
2024-06-20,213.92999267578125,214.24000549316406,208.85000610351562,209.67999267578125,208.0707550048828,86172500,201.59504556412116,186.13944510627087,1,1.0,0.0,-0.021512906597537684,-0.021512906597537684,0.0,-0.021512906597537684,76714.53001520864,26772.421207230473
2024-06-21,210.38999938964844,211.88999938964844,207.11000061035156,207.49000549316406,205.89759826660156,241805100,202.15647031926812,186.56222848026874,1,1.0,0.0,-0.010444426073609514,-0.010444426073609514,0.0,-0.010444426073609514,75913.2907776931,26492.79863312002
2024-06-24,207.72000122070312,212.6999969482422,206.58999633789062,208.13999938964844,206.5426025390625,80727000,202.7263302307329,186.98951107253367,1,1.0,0.0,0.00313265159417897,0.00313265159417897,0.0,0.00313265159417897,76151.10066906721,26575.791340992324
2024-06-25,209.14999389648438,211.3800048828125,208.61000061035156,209.07000732421875,207.46546936035156,55549700,203.33048995392204,187.42674862207198,1,1.0,0.0,0.004468184574312861,0.004468184574312861,0.0,0.004468184574312861,76491.35784239369,26694.5368819123
2024-06-26,211.5,214.86000061035156,210.63999938964844,213.25,211.61338806152344,66213200,204.27520519640564,187.93810013450621,1,1.0,0.0,0.01999326794540668,0.01999326794540668,0.0,0.01999326794540668,78020.67005524464,27228.247910470916
2024-06-27,214.69000244140625,215.74000549316406,212.35000610351562,214.10000610351562,212.4568634033203,49772700,205.2109005208923,188.456157678447,1,1.0,0.0,0.003985960626099017,0.003985960626099017,0.0,0.003985960626099017,78331.65737410671,27336.778634559712
2024-06-28,215.77000427246094,216.07000732421875,210.3000030517578,210.6199951171875,209.00357055664062,82542700,205.72605238720612,188.89504554852107,1,1.0,0.0,-0.016254137725925877,-0.016254137725925877,0.0,-0.016254137725925877,77058.44382684794,26892.442869650433
